epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5
224,0.7596868649570543,0.7664779050255859,38.04989239831615,36.98438160118234,2.82,0.001,570,1357,2023,2761,3461
225,0.7606195722727864,0.7671011808497001,37.97598150013292,36.934991586781564,2.83,0.001,569,1357,2023,2761,3461
226,0.7614787550328989,0.7676762992431639,37.907768351186114,36.88936094827172,2.84,0.001,569,1356,2023,2761,3461
227,0.7622552547238091,0.7685981934089727,37.84601433151515,36.816097686041154,2.85,0.001,569,1356,2023,2761,3461
228,0.7630141284768805,0.7687698883022336,37.78556472208914,36.80243787568631,2.87,0.001,569,1355,2023,2760,3461
229,0.7637765692489226,0.7698838739091243,37.7247334991001,36.71367817365978,2.88,0.001,568,1355,2024,2760,3461
230,0.7645136428774622,0.7704993250449174,37.66583124995385,36.664551090128256,2.89,0.001,568,1355,2024,2760,3461
231,0.7651711589868578,0.7711949501155684,37.61320964819491,36.6089431926092,2.9,0.001,568,1354,2024,2759,3461
232,0.7657758081972852,0.772101046489528,37.56475528795243,36.53638223144842,2.91,0.001,567,1354,2024,2759,3461
233,0.7663734779837879,0.7722685386919633,37.51679474175949,36.52295370668886,2.92,0.001,567,1354,2024,2759,3461
234,0.7669692316233864,0.773152930563031,37.46893244325891,36.451966333921895,2.93,0.001,567,1353,2024,2759,3461
